station,magnitud,year,month,day,hour,value,validity,magnitude_id,sequence_id,origin_writer_id,publish_ts_ns,received_at
35,6,2026,2,21,8,0.4,V,6,8,pub-mag06,1778575564654730271,2026-05-12T08:46:04Z
11,12,2026,2,21,12,40,V,12,12,pub-mag12,1778575564657350080,2026-05-12T08:46:04Z
35,1,2026,2,21,2,1,V,1,2,pub-mag01,1778575564792277189,2026-05-12T08:46:04Z
35,6,2026,2,21,9,0.4,V,6,9,pub-mag06,1778575564811474198,2026-05-12T08:46:04Z
11,12,2026,2,21,13,47,V,12,13,pub-mag12,1778575564833454619,2026-05-12T08:46:04Z
35,1,2026,2,21,3,0,V,1,3,pub-mag01,1778575564983915925,2026-05-12T08:46:05Z
11,12,2026,2,21,14,60,V,12,14,pub-mag12,1778575565115762056,2026-05-12T08:46:05Z
35,1,2026,2,21,4,1,V,1,4,pub-mag01,1778575565169986575,2026-05-12T08:46:05Z
35,6,2026,2,21,10,0.5,V,6,10,pub-mag06,1778575565175384930,2026-05-12T08:46:05Z
11,12,2026,2,21,15,52,V,12,15,pub-mag12,1778575565291962403,2026-05-12T08:46:05Z
35,6,2026,2,21,11,0.5,V,6,11,pub-mag06,1778575565332855445,2026-05-12T08:46:05Z
35,1,2026,2,21,5,0,V,1,5,pub-mag01,1778575565349820422,2026-05-12T08:46:05Z
35,6,2026,2,21,12,0.5,V,6,12,pub-mag06,1778575565491412862,2026-05-12T08:46:05Z
35,1,2026,2,21,6,0,V,1,6,pub-mag01,1778575565525994913,2026-05-12T08:46:05Z
11,12,2026,2,21,16,38,V,12,16,pub-mag12,1778575565555096714,2026-05-12T08:46:05Z
35,6,2026,2,21,13,0.6,V,6,13,pub-mag06,1778575565647910360,2026-05-12T08:46:05Z
35,1,2026,2,21,7,1,V,1,7,pub-mag01,1778575565705936432,2026-05-12T08:46:05Z
11,12,2026,2,21,17,37,V,12,17,pub-mag12,1778575565735398829,2026-05-12T08:46:05Z
35,6,2026,2,21,14,0.5,V,6,14,pub-mag06,1778575565809793482,2026-05-12T08:46:05Z
35,1,2026,2,21,8,0,V,1,8,pub-mag01,1778575565882902834,2026-05-12T08:46:05Z
11,12,2026,2,21,18,30,V,12,18,pub-mag12,1778575565940611287,2026-05-12T08:46:05Z
35,6,2026,2,21,15,0.4,V,6,15,pub-mag06,1778575565965701014,2026-05-12T08:46:05Z
35,1,2026,2,21,9,1,V,1,9,pub-mag01,1778575566059570229,2026-05-12T08:46:06Z
11,12,2026,2,21,19,32,V,12,19,pub-mag12,1778575566116763136,2026-05-12T08:46:06Z
35,6,2026,2,21,16,0.4,V,6,16,pub-mag06,1778575566150968829,2026-05-12T08:46:06Z
35,1,2026,2,21,10,1,V,1,10,pub-mag01,1778575566237341837,2026-05-12T08:46:06Z
11,12,2026,2,21,20,121,V,12,20,pub-mag12,1778575566292499800,2026-05-12T08:46:06Z
35,6,2026,2,21,17,0.3,V,6,17,pub-mag06,1778575566306758736,2026-05-12T08:46:06Z
35,1,2026,2,21,11,1,V,1,11,pub-mag01,1778575566413214857,2026-05-12T08:46:06Z
35,6,2026,2,21,18,0.4,V,6,18,pub-mag06,1778575566462370054,2026-05-12T08:46:06Z
11,12,2026,2,21,21,256,V,12,21,pub-mag12,1778575566468403985,2026-05-12T08:46:06Z
35,1,2026,2,21,12,2,V,1,12,pub-mag01,1778575566589287379,2026-05-12T08:46:06Z
35,6,2026,2,21,19,0.4,V,6,19,pub-mag06,1778575566618375725,2026-05-12T08:46:06Z
11,12,2026,2,21,22,288,V,12,22,pub-mag12,1778575566645346707,2026-05-12T08:46:06Z
35,1,2026,2,21,13,2,V,1,13,pub-mag01,1778575566767898325,2026-05-12T08:46:06Z
35,6,2026,2,21,20,0.5,V,6,20,pub-mag06,1778575566773915421,2026-05-12T08:46:06Z
11,12,2026,2,21,23,277,V,12,23,pub-mag12,1778575566821512252,2026-05-12T08:46:06Z
35,6,2026,2,21,21,0.6,V,6,21,pub-mag06,1778575566931267061,2026-05-12T08:46:06Z
35,1,2026,2,21,14,1,V,1,14,pub-mag01,1778575566943470132,2026-05-12T08:46:06Z
11,12,2026,2,21,24,216,V,12,24,pub-mag12,1778575566997117858,2026-05-12T08:46:06Z
35,6,2026,2,21,22,0.7,V,6,22,pub-mag06,1778575567086764211,2026-05-12T08:46:07Z
35,1,2026,2,21,15,1,V,1,15,pub-mag01,1778575567118893359,2026-05-12T08:46:07Z
11,12,2026,2,22,1,101,V,12,25,pub-mag12,1778575567172813089,2026-05-12T08:46:07Z
35,6,2026,2,21,23,1,V,6,23,pub-mag06,1778575567242821573,2026-05-12T08:46:07Z
35,1,2026,2,21,16,1,V,1,16,pub-mag01,1778575567294421248,2026-05-12T08:46:07Z
11,12,2026,2,22,2,24,V,12,26,pub-mag12,1778575567348465029,2026-05-12T08:46:07Z
35,6,2026,2,21,24,1.1,V,6,24,pub-mag06,1778575567398202247,2026-05-12T08:46:07Z
35,1,2026,2,21,17,1,V,1,17,pub-mag01,1778575567470097376,2026-05-12T08:46:07Z
11,12,2026,2,22,3,18,V,12,27,pub-mag12,1778575567523979599,2026-05-12T08:46:07Z
35,6,2026,2,22,1,1.1,V,6,25,pub-mag06,1778575567553942627,2026-05-12T08:46:07Z
35,1,2026,2,21,18,1,V,1,18,pub-mag01,1778575567645625675,2026-05-12T08:46:07Z
11,12,2026,2,22,4,15,V,12,28,pub-mag12,1778575567699462510,2026-05-12T08:46:07Z
35,6,2026,2,22,2,0.8,V,6,26,pub-mag06,1778575567709515876,2026-05-12T08:46:07Z
35,1,2026,2,21,19,1,V,1,19,pub-mag01,1778575567821094499,2026-05-12T08:46:07Z
35,6,2026,2,22,3,0.6,V,6,27,pub-mag06,1778575567865061620,2026-05-12T08:46:07Z
11,12,2026,2,22,5,13,V,12,29,pub-mag12,1778575567875458944,2026-05-12T08:46:07Z
35,1,2026,2,21,20,1,V,1,20,pub-mag01,1778575567996652040,2026-05-12T08:46:07Z
35,6,2026,2,22,4,0.6,V,6,28,pub-mag06,1778575568020552121,2026-05-12T08:46:08Z
11,12,2026,2,22,6,8,V,12,30,pub-mag12,1778575568051101433,2026-05-12T08:46:08Z
35,1,2026,2,21,21,1,V,1,21,pub-mag01,1778575568172202504,2026-05-12T08:46:08Z
35,6,2026,2,22,5,0.5,V,6,29,pub-mag06,1778575568176043227,2026-05-12T08:46:08Z
11,12,2026,2,22,7,11,V,12,31,pub-mag12,1778575568226725578,2026-05-12T08:46:08Z
35,6,2026,2,22,6,0.6,V,6,30,pub-mag06,1778575568331449572,2026-05-12T08:46:08Z
35,1,2026,2,21,22,1,V,1,22,pub-mag01,1778575568347852070,2026-05-12T08:46:08Z
11,12,2026,2,22,8,12,V,12,32,pub-mag12,1778575568402201451,2026-05-12T08:46:08Z
35,6,2026,2,22,7,0.6,V,6,31,pub-mag06,1778575568487120354,2026-05-12T08:46:08Z
35,1,2026,2,21,23,2,V,1,23,pub-mag01,1778575568523465861,2026-05-12T08:46:08Z
11,12,2026,2,22,9,9,V,12,33,pub-mag12,1778575568578013392,2026-05-12T08:46:08Z
35,6,2026,2,22,8,0.6,V,6,32,pub-mag06,1778575568642700804,2026-05-12T08:46:08Z
35,1,2026,2,21,24,1,V,1,24,pub-mag01,1778575568699008600,2026-05-12T08:46:08Z
11,12,2026,2,22,10,20,V,12,34,pub-mag12,1778575568753543826,2026-05-12T08:46:08Z
35,6,2026,2,22,9,0.5,V,6,33,pub-mag06,1778575568799108881,2026-05-12T08:46:08Z
35,1,2026,2,22,1,1,V,1,25,pub-mag01,1778575568874876825,2026-05-12T08:46:08Z
11,12,2026,2,22,11,25,V,12,35,pub-mag12,1778575568929223420,2026-05-12T08:46:08Z
35,6,2026,2,22,10,0.5,V,6,34,pub-mag06,1778575568954674588,2026-05-12T08:46:08Z
35,1,2026,2,22,2,1,V,1,26,pub-mag01,1778575569051949335,2026-05-12T08:46:09Z
11,12,2026,2,22,12,34,V,12,36,pub-mag12,1778575569104702181,2026-05-12T08:46:09Z
35,6,2026,2,22,11,0.6,V,6,35,pub-mag06,1778575569110106104,2026-05-12T08:46:09Z
35,1,2026,2,22,3,1,V,1,27,pub-mag01,1778575569228758159,2026-05-12T08:46:09Z
35,6,2026,2,22,12,0.5,V,6,36,pub-mag06,1778575569265544909,2026-05-12T08:46:09Z
11,12,2026,2,22,13,40,V,12,37,pub-mag12,1778575569280065380,2026-05-12T08:46:09Z
35,1,2026,2,22,4,1,V,1,28,pub-mag01,1778575569404147171,2026-05-12T08:46:09Z
35,6,2026,2,22,13,0.5,V,6,37,pub-mag06,1778575569421026560,2026-05-12T08:46:09Z
11,12,2026,2,22,14,51,V,12,38,pub-mag12,1778575569455420712,2026-05-12T08:46:09Z
35,6,2026,2,22,14,0.4,V,6,38,pub-mag06,1778575569576739292,2026-05-12T08:46:09Z
35,1,2026,2,22,5,1,V,1,29,pub-mag01,1778575569580770421,2026-05-12T08:46:09Z
11,12,2026,2,22,15,36,V,12,39,pub-mag12,1778575569632510061,2026-05-12T08:46:09Z
35,6,2026,2,22,15,0.4,V,6,39,pub-mag06,1778575569740849348,2026-05-12T08:46:09Z
35,1,2026,2,22,6,1,V,1,30,pub-mag01,1778575569756267883,2026-05-12T08:46:09Z
11,12,2026,2,22,16,32,V,12,40,pub-mag12,1778575569808549120,2026-05-12T08:46:09Z
35,6,2026,2,22,16,0.4,V,6,40,pub-mag06,1778575569896371951,2026-05-12T08:46:09Z
35,1,2026,2,22,7,0,V,1,31,pub-mag01,1778575569932560434,2026-05-12T08:46:09Z
11,12,2026,2,22,17,22,V,12,41,pub-mag12,1778575569984285312,2026-05-12T08:46:09Z
35,6,2026,2,22,17,0.4,V,6,41,pub-mag06,1778575570051910545,2026-05-12T08:46:10Z
35,1,2026,2,22,8,1,V,1,32,pub-mag01,1778575570108029934,2026-05-12T08:46:10Z
11,12,2026,2,22,18,32,V,12,42,pub-mag12,1778575570159784974,2026-05-12T08:46:10Z
35,6,2026,2,22,18,0.4,V,6,42,pub-mag06,1778575570207558174,2026-05-12T08:46:10Z
35,1,2026,2,22,9,1,V,1,33,pub-mag01,1778575570317212536,2026-05-12T08:46:10Z
11,12,2026,2,22,19,34,V,12,43,pub-mag12,1778575570341085809,2026-05-12T08:46:10Z
35,6,2026,2,22,19,0.4,V,6,43,pub-mag06,1778575570363082191,2026-05-12T08:46:10Z
35,1,2026,2,22,10,1,V,1,34,pub-mag01,1778575570492990597,2026-05-12T08:46:10Z
11,12,2026,2,22,20,164,V,12,44,pub-mag12,1778575570516992538,2026-05-12T08:46:10Z
35,6,2026,2,22,20,0.7,V,6,44,pub-mag06,1778575570518919433,2026-05-12T08:46:10Z
35,1,2026,2,22,11,1,V,1,35,pub-mag01,1778575570668676206,2026-05-12T08:46:10Z
35,6,2026,2,22,21,0.8,V,6,45,pub-mag06,1778575570674579376,2026-05-12T08:46:10Z
11,12,2026,2,22,21,274,V,12,45,pub-mag12,1778575570692703346,2026-05-12T08:46:11Z
35,1,2026,2,22,12,2,V,1,36,pub-mag01,1778575571524273492,2026-05-12T08:46:11Z
35,6,2026,2,22,22,0.9,V,6,46,pub-mag06,1778575571553437845,2026-05-12T08:46:11Z
11,12,2026,2,22,22,274,V,12,46,pub-mag12,1778575571556049643,2026-05-12T08:46:11Z
35,1,2026,2,22,13,2,V,1,37,pub-mag01,1778575571700210091,2026-05-12T08:46:11Z
35,6,2026,2,22,23,1.1,V,6,47,pub-mag06,1778575571709600585,2026-05-12T08:46:11Z
11,12,2026,2,22,23,241,V,12,47,pub-mag12,1778575571731737733,2026-05-12T08:46:11Z
35,6,2026,2,22,24,0.9,V,6,48,pub-mag06,1778575571865235117,2026-05-12T08:46:11Z
35,1,2026,2,22,14,1,V,1,38,pub-mag01,1778575571876195800,2026-05-12T08:46:11Z
11,12,2026,2,22,24,134,V,12,48,pub-mag12,1778575571907230269,2026-05-12T08:46:11Z
35,6,2026,2,23,1,0.8,V,6,49,pub-mag06,1778575572020988806,2026-05-12T08:46:12Z
35,1,2026,2,22,15,1,V,1,39,pub-mag01,1778575572051674388,2026-05-12T08:46:12Z
11,12,2026,2,23,1,47,V,12,49,pub-mag12,1778575572083040021,2026-05-12T08:46:12Z
35,6,2026,2,23,2,0.6,V,6,50,pub-mag06,1778575572177620684,2026-05-12T08:46:12Z
35,1,2026,2,22,16,2,V,1,40,pub-mag01,1778575572227773342,2026-05-12T08:46:12Z
11,12,2026,2,23,2,26,V,12,50,pub-mag12,1778575572259078212,2026-05-12T08:46:12Z
35,6,2026,2,23,3,0.5,V,6,51,pub-mag06,1778575572333591815,2026-05-12T08:46:12Z
35,1,2026,2,22,17,2,V,1,41,pub-mag01,1778575572403606160,2026-05-12T08:46:12Z
11,12,2026,2,23,3,11,V,12,51,pub-mag12,1778575572435194254,2026-05-12T08:46:12Z
35,6,2026,2,23,4,0.5,V,6,52,pub-mag06,1778575572489507657,2026-05-12T08:46:12Z
35,1,2026,2,22,18,2,V,1,42,pub-mag01,1778575572579045925,2026-05-12T08:46:12Z
11,12,2026,2,23,4,7,V,12,52,pub-mag12,1778575572610593117,2026-05-12T08:46:12Z
35,6,2026,2,23,5,0.5,V,6,53,pub-mag06,1778575572646055683,2026-05-12T08:46:12Z
35,1,2026,2,22,19,1,V,1,43,pub-mag01,1778575572754520342,2026-05-12T08:46:12Z
11,12,2026,2,23,5,7,V,12,53,pub-mag12,1778575572786059586,2026-05-12T08:46:12Z
35,6,2026,2,23,6,0.5,V,6,54,pub-mag06,1778575572802142119,2026-05-12T08:46:12Z
35,1,2026,2,22,20,2,V,1,44,pub-mag01,1778575572930085379,2026-05-12T08:46:12Z
35,6,2026,2,23,7,0.5,V,6,55,pub-mag06,1778575572957518537,2026-05-12T08:46:12Z
11,12,2026,2,23,6,10,V,12,54,pub-mag12,1778575572962067357,2026-05-12T08:46:12Z
35,1,2026,2,22,21,2,V,1,45,pub-mag01,1778575573105656298,2026-05-12T08:46:13Z
35,6,2026,2,23,8,0.5,V,6,56,pub-mag06,1778575573113021048,2026-05-12T08:46:13Z
11,12,2026,2,23,7,21,V,12,55,pub-mag12,1778575573137779124,2026-05-12T08:46:13Z
35,6,2026,2,23,9,0.7,V,6,57,pub-mag06,1778575573269569527,2026-05-12T08:46:13Z
35,1,2026,2,22,22,2,V,1,46,pub-mag01,1778575573281424576,2026-05-12T08:46:13Z
11,12,2026,2,23,8,45,V,12,56,pub-mag12,1778575573313535789,2026-05-12T08:46:13Z
35,6,2026,2,23,10,0.9,V,6,58,pub-mag06,1778575573425224687,2026-05-12T08:46:13Z
35,1,2026,2,22,23,3,V,1,47,pub-mag01,1778575573457010609,2026-05-12T08:46:13Z
11,12,2026,2,23,9,50,V,12,57,pub-mag12,1778575573489511157,2026-05-12T08:46:13Z
35,6,2026,2,23,11,0.7,V,6,59,pub-mag06,1778575573580809189,2026-05-12T08:46:13Z
35,1,2026,2,22,24,2,V,1,48,pub-mag01,1778575573634876078,2026-05-12T08:46:13Z
11,12,2026,2,23,10,61,V,12,58,pub-mag12,1778575573665531931,2026-05-12T08:46:13Z
35,6,2026,2,23,12,0.7,V,6,60,pub-mag06,1778575573738227012,2026-05-12T08:46:13Z
35,1,2026,2,23,1,1,V,1,49,pub-mag01,1778575573812460119,2026-05-12T08:46:13Z
11,12,2026,2,23,11,46,V,12,59,pub-mag12,1778575573859948818,2026-05-12T08:46:13Z
35,6,2026,2,23,13,0.8,V,6,61,pub-mag06,1778575573902530054,2026-05-12T08:46:13Z
35,1,2026,2,23,2,1,V,1,50,pub-mag01,1778575573990707049,2026-05-12T08:46:13Z
11,12,2026,2,23,12,43,V,12,60,pub-mag12,1778575574048032830,2026-05-12T08:46:14Z
35,6,2026,2,23,14,0.5,V,6,62,pub-mag06,1778575574076533405,2026-05-12T08:46:14Z
35,1,2026,2,23,3,1,V,1,51,pub-mag01,1778575574169443859,2026-05-12T08:46:14Z
35,6,2026,2,23,15,0.5,V,6,63,pub-mag06,1778575574236639729,2026-05-12T08:46:14Z
11,12,2026,2,23,13,44,V,12,61,pub-mag12,1778575574223773290,2026-05-12T08:46:14Z
35,1,2026,2,23,4,1,V,1,52,pub-mag01,1778575574346460707,2026-05-12T08:46:14Z
35,6,2026,2,23,16,0.5,V,6,64,pub-mag06,1778575574397367230,2026-05-12T08:46:14Z
11,12,2026,2,23,14,82,V,12,62,pub-mag12,1778575574423480579,2026-05-12T08:46:14Z
35,1,2026,2,23,5,1,V,1,53,pub-mag01,1778575574555349441,2026-05-12T08:46:14Z
35,6,2026,2,23,17,0.4,V,6,65,pub-mag06,1778575574562660354,2026-05-12T08:46:14Z
11,12,2026,2,23,15,70,V,12,63,pub-mag12,1778575574601980445,2026-05-12T08:46:14Z
35,6,2026,2,23,18,0.4,V,6,66,pub-mag06,1778575574731699732,2026-05-12T08:46:14Z
35,1,2026,2,23,6,2,V,1,54,pub-mag01,1778575574741764281,2026-05-12T08:46:14Z
11,12,2026,2,23,16,70,V,12,64,pub-mag12,1778575574781660287,2026-05-12T08:46:14Z
35,6,2026,2,23,19,0.5,V,6,67,pub-mag06,1778575574900801653,2026-05-12T08:46:14Z
35,1,2026,2,23,7,1,V,1,55,pub-mag01,1778575574952085731,2026-05-12T08:46:14Z
11,12,2026,2,23,17,59,V,12,65,pub-mag12,1778575575023834519,2026-05-12T08:46:15Z
35,6,2026,2,23,20,0.7,V,6,68,pub-mag06,1778575575056851409,2026-05-12T08:46:15Z
35,1,2026,2,23,8,2,V,1,56,pub-mag01,1778575575150882827,2026-05-12T08:46:15Z
11,12,2026,2,23,18,44,V,12,66,pub-mag12,1778575575206520897,2026-05-12T08:46:15Z
35,6,2026,2,23,21,1.1,V,6,69,pub-mag06,1778575575217375891,2026-05-12T08:46:15Z
35,1,2026,2,23,9,2,V,1,57,pub-mag01,1778575575328447095,2026-05-12T08:46:15Z
11,12,2026,2,23,19,50,V,12,67,pub-mag12,1778575575385965414,2026-05-12T08:46:15Z
35,6,2026,2,23,22,1.1,V,6,70,pub-mag06,1778575575401361325,2026-05-12T08:46:15Z
35,1,2026,2,23,10,3,V,1,58,pub-mag01,1778575575519444415,2026-05-12T08:46:15Z
11,12,2026,2,23,20,129,V,12,68,pub-mag12,1778575575596749659,2026-05-12T08:46:15Z
35,6,2026,2,23,23,1.2,V,6,71,pub-mag06,1778575575578478245,2026-05-12T08:46:15Z
35,1,2026,2,23,11,3,V,1,59,pub-mag01,1778575575712304122,2026-05-12T08:46:15Z
11,12,2026,2,23,21,264,V,12,69,pub-mag12,1778575575772555576,2026-05-12T08:46:15Z
35,6,2026,2,23,24,1.3,V,6,72,pub-mag06,1778575575791222205,2026-05-12T08:46:15Z
35,1,2026,2,23,12,5,V,1,60,pub-mag01,1778575575906789814,2026-05-12T08:46:15Z
11,12,2026,2,23,22,367,V,12,70,pub-mag12,1778575575954928280,2026-05-12T08:46:15Z
35,6,2026,2,24,1,1.1,V,6,73,pub-mag06,1778575575947790388,2026-05-12T08:46:15Z
35,1,2026,2,23,13,5,V,1,61,pub-mag01,1778575576082419729,2026-05-12T08:46:16Z
35,6,2026,2,24,2,0.7,V,6,74,pub-mag06,1778575576114489357,2026-05-12T08:46:16Z
11,12,2026,2,23,23,391,V,12,71,pub-mag12,1778575576130675174,2026-05-12T08:46:16Z
35,1,2026,2,23,14,3,V,1,62,pub-mag01,1778575576258336422,2026-05-12T08:46:16Z
35,6,2026,2,24,3,0.6,V,6,75,pub-mag06,1778575576275043685,2026-05-12T08:46:16Z
11,12,2026,2,23,24,382,V,12,72,pub-mag12,1778575576311022190,2026-05-12T08:46:16Z
35,6,2026,2,24,4,0.5,V,6,76,pub-mag06,1778575576478641106,2026-05-12T08:46:16Z
11,12,2026,2,24,1,139,V,12,73,pub-mag12,1778575576584431616,2026-05-12T08:46:16Z
35,1,2026,2,23,15,2,V,1,63,pub-mag01,1778575576454376761,2026-05-12T08:46:16Z
11,12,2026,2,24,2,37,V,12,74,pub-mag12,1778575576782819022,2026-05-12T08:46:16Z
35,6,2026,2,24,5,0.5,V,6,77,pub-mag06,1778575576689204138,2026-05-12T08:46:16Z
35,1,2026,2,23,16,2,V,1,64,pub-mag01,1778575576830482846,2026-05-12T08:46:16Z
35,6,2026,2,24,6,0.5,V,6,78,pub-mag06,1778575576973513956,2026-05-12T08:46:16Z
11,12,2026,2,24,3,22,V,12,75,pub-mag12,1778575577022794312,2026-05-12T08:46:17Z
35,1,2026,2,23,17,2,V,1,65,pub-mag01,1778575577071182644,2026-05-12T08:46:17Z
11,12,2026,2,24,4,19,V,12,76,pub-mag12,1778575577218215467,2026-05-12T08:46:17Z
35,6,2026,2,24,7,0.5,V,6,79,pub-mag06,1778575577221447248,2026-05-12T08:46:17Z
35,1,2026,2,23,18,1,V,1,66,pub-mag01,1778575577274683218,2026-05-12T08:46:17Z
35,6,2026,2,24,8,0.5,V,6,80,pub-mag06,1778575577378627713,2026-05-12T08:46:17Z
11,12,2026,2,24,5,13,V,12,77,pub-mag12,1778575577401357914,2026-05-12T08:46:17Z
35,1,2026,2,23,19,2,V,1,67,pub-mag01,1778575577451112610,2026-05-12T08:46:17Z
35,6,2026,2,24,10,0.7,V,6,81,pub-mag06,1778575577537783313,2026-05-12T08:46:17Z
11,12,2026,2,24,6,13,V,12,78,pub-mag12,1778575577587905830,2026-05-12T08:46:17Z
35,1,2026,2,23,20,2,V,1,68,pub-mag01,1778575577629132701,2026-05-12T08:46:17Z
35,6,2026,2,24,11,0.6,V,6,82,pub-mag06,1778575577694853706,2026-05-12T08:46:17Z
11,12,2026,2,24,7,28,V,12,79,pub-mag12,1778575577763824304,2026-05-12T08:46:17Z
35,1,2026,2,23,21,4,V,1,69,pub-mag01,1778575577805402433,2026-05-12T08:46:17Z
35,6,2026,2,24,12,0.5,V,6,83,pub-mag06,1778575577850460731,2026-05-12T08:46:17Z
11,12,2026,2,24,8,51,V,12,80,pub-mag12,1778575577944044804,2026-05-12T08:46:17Z
35,1,2026,2,23,22,4,V,1,70,pub-mag01,1778575577981462920,2026-05-12T08:46:17Z
35,6,2026,2,24,13,0.4,V,6,84,pub-mag06,1778575578006302079,2026-05-12T08:46:18Z
11,12,2026,2,24,9,57,V,12,81,pub-mag12,1778575578121780149,2026-05-12T08:46:18Z
35,6,2026,2,24,14,0.4,V,6,85,pub-mag06,1778575578162759544,2026-05-12T08:46:18Z
35,1,2026,2,23,23,3,V,1,71,pub-mag01,1778575578191926276,2026-05-12T08:46:18Z
11,12,2026,2,24,10,65,V,12,82,pub-mag12,1778575578297621058,2026-05-12T08:46:18Z
35,6,2026,2,24,15,0.4,V,6,86,pub-mag06,1778575578318229946,2026-05-12T08:46:18Z
35,1,2026,2,23,24,3,V,1,72,pub-mag01,1778575578367459331,2026-05-12T08:46:18Z
11,12,2026,2,24,11,41,V,12,83,pub-mag12,1778575578484896344,2026-05-12T08:46:18Z
35,1,2026,2,24,1,3,V,1,73,pub-mag01,1778575578543225655,2026-05-12T08:46:18Z
35,6,2026,2,24,16,0.3,V,6,87,pub-mag06,1778575578550947881,2026-05-12T08:46:18Z
11,12,2026,2,24,12,50,V,12,84,pub-mag12,1778575578660364711,2026-05-12T08:46:18Z
35,6,2026,2,24,17,0.4,V,6,88,pub-mag06,1778575578706370838,2026-05-12T08:46:18Z
35,1,2026,2,24,2,2,V,1,74,pub-mag01,1778575578719896352,2026-05-12T08:46:18Z
35,6,2026,2,24,18,0.3,V,6,89,pub-mag06,1778575578930229548,2026-05-12T08:46:18Z
11,12,2026,2,24,13,71,V,12,85,pub-mag12,1778575578931324946,2026-05-12T08:46:18Z
35,1,2026,2,24,3,2,V,1,75,pub-mag01,1778575578944931747,2026-05-12T08:46:18Z
35,6,2026,2,24,19,0.3,V,6,90,pub-mag06,1778575579086786792,2026-05-12T08:46:19Z
11,12,2026,2,24,14,78,V,12,86,pub-mag12,1778575579110201897,2026-05-12T08:46:19Z
35,1,2026,2,24,4,1,V,1,76,pub-mag01,1778575579123781591,2026-05-12T08:46:19Z
35,6,2026,2,24,20,0.5,V,6,91,pub-mag06,1778575579243972983,2026-05-12T08:46:19Z
11,12,2026,2,24,15,65,V,12,87,pub-mag12,1778575579285901361,2026-05-12T08:46:19Z
35,1,2026,2,24,5,1,V,1,77,pub-mag01,1778575579300205786,2026-05-12T08:46:19Z
35,6,2026,2,24,21,0.5,V,6,92,pub-mag06,1778575579400148561,2026-05-12T08:46:19Z
11,12,2026,2,24,16,44,V,12,88,pub-mag12,1778575579461714572,2026-05-12T08:46:19Z
35,1,2026,2,24,6,2,V,1,78,pub-mag01,1778575579476511610,2026-05-12T08:46:19Z
35,6,2026,2,24,22,0.9,V,6,93,pub-mag06,1778575579557373780,2026-05-12T08:46:19Z
11,12,2026,2,24,17,31,V,12,89,pub-mag12,1778575579637317034,2026-05-12T08:46:19Z
35,1,2026,2,24,9,3,V,1,79,pub-mag01,1778575579655072098,2026-05-12T08:46:19Z
35,6,2026,2,24,23,1.5,V,6,94,pub-mag06,1778575579713220372,2026-05-12T08:46:19Z
11,12,2026,2,24,18,32,V,12,90,pub-mag12,1778575579812829094,2026-05-12T08:46:19Z
35,1,2026,2,24,10,3,V,1,80,pub-mag01,1778575579832654181,2026-05-12T08:46:19Z
35,6,2026,2,24,24,1.1,V,6,95,pub-mag06,1778575579872084773,2026-05-12T08:46:19Z
11,12,2026,2,24,19,36,V,12,91,pub-mag12,1778575579989128259,2026-05-12T08:46:19Z
35,1,2026,2,24,11,3,V,1,81,pub-mag01,1778575580008397028,2026-05-12T08:46:20Z
35,6,2026,2,25,1,0.8,V,6,96,pub-mag06,1778575580034694740,2026-05-12T08:46:20Z
